cancer_type	task_id	task_name	category	val_metric	label_type	val_endpoint	val_endpoint_file	val_endpoint_modality
BRCA	B1	ER+ Luminal Identity	Molecular	AUROC	binary-pole	breast_carcinoma_estrogen_receptor_status (binary)	data/clinical/clinical_PANCAN_patient_with_followup.tsv	panel
BRCA	B2	HER2 Amplification	Molecular	AUROC	binary-pole	ERBB2 CNA ≥ 2 (binary)	data/molecular/brca_tcga_gdc/data_cna.txt	DNA copy number
BRCA	B3	Invasive Lobular / CDH1-Loss	Pathology	AUROC	binary-pole	fields.histologic_type ILC vs IDC (binary)	results/path_reports/brca_tcga_gdc_extracted.jsonl
BRCA	B4	Mitotic / Proliferative	Pathology	Spearman ρ	ordinal	fields.nottingham_mitotic_score (ordinal 1–3, N=600)	results/path_reports/brca_tcga_gdc_extracted.jsonl
BRCA	B5	PIK3CA-Mutant / PI3K-Activated	Molecular	AUROC	binary-pole	PIK3CA non-silent mutations (binary, ~34%)	data/molecular/brca_tcga_gdc/data_mutations.txt	DNA mutation
BRCA	B6	PR-Negative	Molecular	AUROC	binary-pole	breast_carcinoma_progesterone_receptor_status Negative (binary, ~33%, N=1047)	data/clinical/clinical_PANCAN_patient_with_followup.tsv	panel
SKCM	SK1	BRAF V600E Proliferative	Molecular	AUROC	binary-pole	BRAF V600E mutation status (binary, ~50%)	data/molecular/skcm_tcga_gdc/data_mutations.txt	DNA mutation
SKCM	SK2	NRAS-Mutant Subtype	Molecular	AUROC	binary-pole	NRAS non-silent mutations (binary, ~27%)	data/molecular/skcm_tcga_gdc/data_mutations.txt	DNA mutation
SKCM	SK3	Breslow Thickness [Exploratory]	Pathology	Spearman ρ	continuous	fields.breslow_thickness_mm (continuous, N=102)	results/path_reports/skcm_tcga_gdc_extracted.jsonl
SKCM	SK4	CDKN2A Deletion	Molecular	AUROC	binary-pole	CDKN2A CNA ≤ -2 (binary, ~24%)	data/molecular/skcm_tcga_gdc/data_cna.txt	DNA copy number
SKCM	SK5	Melanoma Survival	Clinical	Cox PH |z-score|	survival	OS / OS.time	data/clinical/TCGA-CDR.csv
HNSC	HN1	HPV-Positive Program	Molecular	AUROC	binary-pole	hpv_status_by_p16_testing Positive (binary, ~36%, N=115)	data/clinical/clinical_PANCAN_patient_with_followup.tsv	panel
HNSC	HN2	Extracapsular Nodal Extension	Pathology	AUROC	binary-pole	fields.extranodal_extension (binary, HPV-neg only)	results/path_reports/hnsc_tcga_gdc_extracted.jsonl
